"METEOROLOSKA POSTAJA";"OBDOBJE, LETO";"Povprecna_temperatura - LETNA"
"Bilje";"2014";14.0;"Goriska regija"
"Bovec";"2014";11.1;"Goriska regija"
"Brnik";"2014";11.0;"Gorenjska regija"
"Celje";"2014";11.8;"Savinjska regija"
"Crnomelj";"2014";12.8;"JV SLO"
"Ilirska Bistrica";"2014";11.4;"Notranjsko-kraska regija"
"Kocevje";"2014";10.5;"JV SLO"
"Kredarica";"2014";0.0;"Gorenjska regija"
"Lesce";"2014";10.6;"Gorenjska regija"
"Ljubljana";"2014";12.6;"Osrednjoslovenska regija"
"Maribor";"2014";12.0;"Podravska regija"
"Murska Sobota";"2014";12.0;"Pomurska regija"
"Novo mesto";"2014";12.3;"JV SLO"
"Portoroz";"2014";14.9;"Obalno-kraska regija"
"Postojna";"2014";11.1;"Notranjsko-kraska regija"
"Ratece";"2014";8.0;"Gorenjska regija"
"Rogaska Slatina";"2014";9.4;"Savinjska regija"
"Slap pri Vipavi";"2014";13.6;"Goriska regija"
"Smartno pri Slovenj Gradcu";"2014";10.4;"Koroska regija"
"Velenje";"2014";12.0;"Savinjska regija"
"Lisca";"2021";8.2;"Posavska regija"
"Trbovlje";2021;3.7;"Zasavska regija"
